電腦編號,ip,學生證號,卡號,開始時間,離開時間,時數
17R,140.119.129.66,103151022,00D02A9264,13-Jan-15 16:15:30,13-Jan-15 17:52:23,   1小時36分鐘
41M,140.119.17.142,103306005,004624B30B,13-Jan-15 16:15:44,13-Jan-15 18:01:44,   1小時46分鐘
28R,140.119.129.82,103101008,0066A78D0C,13-Jan-15 16:15:48,13-Jan-15 17:52:49,   1小時37分鐘
14W,140.119.49.,102258007,00F0485835,13-Jan-15 16:16:15,13-Jan-15 16:27:57,   0小時12分鐘
06V,140.119.72.51,101306057,00C04FAF48,13-Jan-15 16:17:00,13-Jan-15 16:17:07,   0小時00分鐘
14V,140.119.72.49,101306057,00C04FAF48,13-Jan-15 16:17:13,13-Jan-15 17:08:46,   0小時51分鐘
09W,140.119.49.32,100702037,008BB3C6B3,13-Jan-15 16:17:29,13-Jan-15 17:33:22,   1小時15分鐘
05R,140.119.129.59,H22379313300,00CAB22307,13-Jan-15 16:18:38,13-Jan-15 16:42:52,   0小時24分鐘
24R,140.119.129.78,101601132,0076E35235,13-Jan-15 16:18:45,13-Jan-15 16:23:46,   0小時04分鐘
53D,140.119.29.53,100651018,003B12F1B0,13-Jan-15 16:18:54,13-Jan-15 17:22:24,   1小時03分鐘
01R,140.119.129.67,102601059,000BFA968A,13-Jan-15 16:19:06,13-Jan-15 16:23:14,   0小時04分鐘
33S,140.119.58.33,101451501,006B1AF2B0,13-Jan-15 16:19:24,13-Jan-15 16:19:48,   0小時00分鐘
63S,140.119.58.63,103252016,0006EFB10B,13-Jan-15 16:19:34,13-Jan-15 18:01:22,   1小時42分鐘
65S,140.119.58.65,102453003,0060322F7A,13-Jan-15 16:19:41,13-Jan-15 17:58:54,   1小時39分鐘
75S,140.119.58.75,103252019,00A61DE533,13-Jan-15 16:19:49,13-Jan-15 17:48:51,   1小時28分鐘
S1R,140.119.129.113,100302033,007B08C6B3,13-Jan-15 16:19:51,13-Jan-15 16:32:00,   0小時12分鐘
34S,140.119.58.34,101451501,006B1AF2B0,13-Jan-15 16:19:52,13-Jan-15 17:59:10,   1小時39分鐘
64S,140.119.58.64,101252008,008B39C6B3,13-Jan-15 16:19:59,13-Jan-15 16:20:37,   0小時00分鐘
58S,140.119.58.58,102252021,00B001EB77,13-Jan-15 16:20:03,13-Jan-15 18:00:10,   1小時40分鐘
73S,140.119.58.73,103252003,0056DAE533,13-Jan-15 16:20:08,13-Jan-15 16:20:53,   0小時00分鐘
57S,140.119.58.57,102252031,000661250D,13-Jan-15 16:20:19,13-Jan-15 18:01:26,   1小時41分鐘
25S,140.119.58.25,CC0060,00622B5760,13-Jan-15 16:20:29,13-Jan-15 17:39:08,   1小時18分鐘
76S,140.119.58.76,101252008,008B39C6B3,13-Jan-15 16:20:42,13-Jan-15 18:01:28,   1小時40分鐘
21C,140.119.27.21,100504008,0050B8E277,13-Jan-15 16:20:47,13-Jan-15 18:06:47,   1小時46分鐘
74S,140.119.58.74,103252003,0056DAE533,13-Jan-15 16:20:59,13-Jan-15 16:21:10,   0小時00分鐘
66S,140.119.58.66,103252018,00F603E733,13-Jan-15 16:21:05,13-Jan-15 16:22:40,   0小時01分鐘
67S,140.119.58.67,103252003,0056DAE533,13-Jan-15 16:21:14,13-Jan-15 17:32:11,   1小時10分鐘
50P,140.119.163.180,99303052,0070915535,13-Jan-15 16:21:16,13-Jan-15 16:24:43,   0小時03分鐘
53S,140.119.58.53,102261004,00E035E277,13-Jan-15 16:21:21,13-Jan-15 17:55:52,   1小時34分鐘
54S,140.119.58.54,103252013,00C6D9250D,13-Jan-15 16:21:28,13-Jan-15 17:52:39,   1小時31分鐘
24S,140.119.58.24,103252022,00D631E533,13-Jan-15 16:21:33,13-Jan-15 17:40:37,   1小時19分鐘
55S,140.119.58.55,103252010,0026290B07,13-Jan-15 16:21:35,13-Jan-15 17:59:41,   1小時38分鐘
52S,140.119.58.52,102261025,00D0906431,13-Jan-15 16:21:43,13-Jan-15 18:01:20,   1小時39分鐘
44S,140.119.58.44,103252025,0026234711,13-Jan-15 16:21:53,13-Jan-15 18:00:42,   1小時39分鐘
43S,140.119.58.43,103252005,0046FDE333,13-Jan-15 16:22:05,13-Jan-15 18:01:18,   1小時39分鐘
09R,140.119.129.68,103405057,002651B30B,13-Jan-15 16:22:11,13-Jan-15 16:29:34,   0小時07分鐘
45S,140.119.58.45,103252505,000B5A9A8A,13-Jan-15 16:22:13,13-Jan-15 17:59:38,   1小時37分鐘
04V,140.119.72.61,103363063,0060183A50,13-Jan-15 16:22:37,13-Jan-15 16:28:55,   0小時06分鐘
20R,140.119.129.74,101402024,00EB09C6B3,13-Jan-15 16:22:45,13-Jan-15 16:30:17,   0小時07分鐘
13A,140.119.26.13,100402033,00BBE0C6B3,13-Jan-15 16:22:50,13-Jan-15 16:25:18,   0小時02分鐘
66S,140.119.58.66,103252018,00F603E733,13-Jan-15 16:23:19,13-Jan-15 18:01:24,   1小時37分鐘
18R,140.119.129.72,101303005,00FBF2C7B3,13-Jan-15 16:23:19,13-Jan-15 16:24:23,   0小時01分鐘
24R,140.119.129.78,101104047,009033B148,13-Jan-15 16:23:53,13-Jan-15 16:27:52,   0小時04分鐘
01R,140.119.129.67,101303005,00FBF2C7B3,13-Jan-15 16:24:36,13-Jan-15 16:26:34,   0小時01分鐘
47M,140.119.17.120,103306050,0076278C0C,13-Jan-15 16:25:56,13-Jan-15 17:09:37,   0小時43分鐘
54O,140.119.73.81,102502010,006B46988A,13-Jan-15 16:25:57,13-Jan-15 16:29:41,   0小時03分鐘
37D,140.119.29.37,100205059,00FBF1C5B3,13-Jan-15 16:26:00,13-Jan-15 17:05:42,   0小時39分鐘
61C,140.119.27.61,100303017,0066D4E533,13-Jan-15 16:26:10,13-Jan-15 18:15:00,   1小時48分鐘
06R,140.119.129.60,101303005,00FBF2C7B3,13-Jan-15 16:26:39,13-Jan-15 17:07:45,   0小時41分鐘
11V,140.119.72.55,102306039,0070E46531,13-Jan-15 16:27:01,13-Jan-15 17:07:05,   0小時40分鐘
07W,140.119.49.34,103601044,00F652230D,13-Jan-15 16:27:19,13-Jan-15 16:31:51,   0小時04分鐘
19R,140.119.129.73,102702048,0000DBE277,13-Jan-15 16:28:03,13-Jan-15 16:28:55,   0小時00分鐘
03W,140.119.49.38,103209035,0046F78C0C,13-Jan-15 16:28:39,13-Jan-15 16:38:47,   0小時10分鐘
18R,140.119.129.72,102702048,0000DBE277,13-Jan-15 16:29:14,13-Jan-15 16:49:46,   0小時20分鐘
38R,140.119.129.92,102302007,0050DA9E48,13-Jan-15 16:29:43,13-Jan-15 16:32:02,   0小時02分鐘
38R,140.119.129.92,102302007,0050DA9E48,13-Jan-15 16:32:11,13-Jan-15 16:54:51,   0小時22分鐘
01R,140.119.129.67,103509206,00B623AE0C,13-Jan-15 16:32:20,13-Jan-15 16:48:07,   0小時15分鐘
19R,140.119.129.73,100301047,00FBACC6B3,13-Jan-15 16:33:02,13-Jan-15 18:13:51,   1小時40分鐘
58C,140.119.27.58,100206036,00EBBEC6B3,13-Jan-15 16:33:11,13-Jan-15 16:54:42,   0小時21分鐘
76D,140.119.29.76,100205091,002BF7C6B3,13-Jan-15 16:33:24,13-Jan-15 16:38:33,   0小時05分鐘
21D,140.119.29.21,99308009,0060A5503E,13-Jan-15 16:34:34,13-Jan-15 17:29:59,   0小時55分鐘
11W,140.119.49.30,CC0492,00322C5660,13-Jan-15 16:34:55,13-Jan-15 17:09:59,   0小時34分鐘
18D,140.119.29.18,99504105,007B76C7B3,13-Jan-15 16:35:01,13-Jan-15 16:37:04,   0小時01分鐘
53O,140.119.73.84,102356014,007EE299DD,13-Jan-15 16:35:46,13-Jan-15 17:08:48,   0小時33分鐘
30R,140.119.129.84,100207311,00D072EB77,13-Jan-15 16:36:29,13-Jan-15 20:00:30,   3小時24分鐘
06V,140.119.72.51,103203052,0096EA8C0C,13-Jan-15 16:37:01,13-Jan-15 17:20:56,   0小時43分鐘
14R,140.119.129.63,B12256801200,00F373F4EC,13-Jan-15 16:37:18,13-Jan-15 16:38:02,   0小時00分鐘
35B,140.119.41.135,98101080,00FB55C6B3,13-Jan-15 16:37:28,13-Jan-15 17:07:47,   0小時30分鐘
08R,140.119.129.62,103357043,003BDD8937,13-Jan-15 16:38:10,13-Jan-15 17:10:32,   0小時32分鐘
20R,140.119.129.74,100307020,00A0FF4835,13-Jan-15 16:39:10,13-Jan-15 16:59:10,   0小時19分鐘
14R,140.119.129.63,101501061,00F0906431,13-Jan-15 16:41:12,13-Jan-15 16:47:53,   0小時06分鐘
32R,140.119.129.86,102104038,0060EF6A3E,13-Jan-15 16:41:29,13-Jan-15 17:32:50,   0小時51分鐘
03W,140.119.49.38,102207224,0090BFE177,13-Jan-15 16:43:21,13-Jan-15 17:47:21,   1小時04分鐘
69Y,140.119.66.69,100701009,00B620AE0C,13-Jan-15 16:44:58,13-Jan-15 17:05:26,   0小時20分鐘
09R,140.119.129.68,102302044,00A0862D7A,13-Jan-15 16:46:26,13-Jan-15 17:11:25,   0小時25分鐘
14R,140.119.129.63,B12256801200,00F373F4EC,13-Jan-15 16:47:57,13-Jan-15 16:48:15,   0小時00分鐘
07W,140.119.49.34,100206050,00F00C6977,13-Jan-15 16:48:14,13-Jan-15 16:55:32,   0小時07分鐘
13R,140.119.129.55,B12256801200,00F373F4EC,13-Jan-15 16:48:26,13-Jan-15 17:03:32,   0小時15分鐘
08W,140.119.49.31,103651072,008B8F8F37,13-Jan-15 16:48:54,13-Jan-15 17:09:38,   0小時21分鐘
08V,140.119.72.56,103303029,006632DCD9,13-Jan-15 16:49:43,13-Jan-15 16:55:06,   0小時05分鐘
13A,140.119.26.13,103101056,000687A333,13-Jan-15 16:49:43,13-Jan-15 17:07:12,   0小時17分鐘
12V,140.119.72.57,103363049,002624250D,13-Jan-15 16:50:14,13-Jan-15 17:02:41,   0小時12分鐘
05R,140.119.129.59,101501061,00F0906431,13-Jan-15 16:50:23,13-Jan-15 16:52:51,   0小時02分鐘
10R,140.119.129.69,103405022,00463D260D,13-Jan-15 16:51:12,13-Jan-15 17:51:23,   1小時00分鐘
22R,140.119.129.76,100601129,00CB76C8B3,13-Jan-15 16:51:33,13-Jan-15 17:08:41,   0小時17分鐘
01R,140.119.129.67,100101066,006BF0C7B3,13-Jan-15 16:53:27,13-Jan-15 17:04:29,   0小時10分鐘
57B,140.119.41.157,100209014,009B6AC7B3,13-Jan-15 16:53:58,13-Jan-15 21:33:08,   4小時39分鐘
27R,140.119.129.81,100501016,00902EE177,13-Jan-15 16:55:48,13-Jan-15 18:31:11,   1小時35分鐘
04V,140.119.72.61,103300218,002B598737,13-Jan-15 16:56:25,13-Jan-15 17:26:34,   0小時30分鐘
13W,140.119.49.126,101304043,0000DF5335,13-Jan-15 16:57:43,13-Jan-15 17:01:26,   0小時03分鐘
37R,140.119.129.91,102601017,0080494E79,13-Jan-15 16:58:27,13-Jan-15 17:02:48,   0小時04分鐘
05R,140.119.129.59,103501014,00B6FEB10B,13-Jan-15 16:58:53,13-Jan-15 17:42:06,   0小時43分鐘
55B,140.119.41.155,100504032,0020996431,13-Jan-15 16:59:53,13-Jan-15 18:26:55,   1小時27分鐘
19I,140.119.187.119,103464029,00A6E3250D,13-Jan-15 17:00:57,13-Jan-15 17:45:56,   0小時45分鐘
08V,140.119.72.56,103302029,0006BA8D0C,13-Jan-15 17:01:16,13-Jan-15 21:29:17,   4小時28分鐘
32I,140.119.187.132,102403030,00C3E149E3,13-Jan-15 17:01:16,13-Jan-15 17:04:36,   0小時03分鐘
35I,140.119.187.135,101209023,0060466531,13-Jan-15 17:01:42,13-Jan-15 17:03:00,   0小時01分鐘
14R,140.119.129.63,101206007,0050C65835,13-Jan-15 17:03:00,13-Jan-15 17:38:33,   0小時35分鐘
24D,140.119.29.24,102703026,00B0DF4F79,13-Jan-15 17:03:14,13-Jan-15 18:01:11,   0小時58分鐘
12W,140.119.49.155,103207247,004653260D,13-Jan-15 17:03:32,13-Jan-15 18:45:19,   1小時42分鐘
12R,140.119.129.71,101501006,0006EEE333,13-Jan-15 17:03:43,13-Jan-15 17:03:58,   0小時00分鐘
24R,140.119.129.78,101702055,000ECC9ADD,13-Jan-15 17:03:47,13-Jan-15 17:08:40,   0小時04分鐘
02R,140.119.129.56,101501006,0006EEE333,13-Jan-15 17:04:03,13-Jan-15 18:12:30,   1小時08分鐘
35I,140.119.187.135,101209023,0060466531,13-Jan-15 17:04:11,13-Jan-15 17:14:43,   0小時10分鐘
12R,140.119.129.71,103205026,0066AD4611,13-Jan-15 17:04:20,13-Jan-15 18:04:46,   1小時00分鐘
04R,140.119.129.58,103509115,00C6388D0C,13-Jan-15 17:04:47,13-Jan-15 17:09:16,   0小時04分鐘
01W,140.119.49.108,101206040,0070EF6D3E,13-Jan-15 17:04:54,13-Jan-15 17:25:42,   0小時21分鐘
13R,140.119.129.55,100501010,002B08C8B3,13-Jan-15 17:04:58,13-Jan-15 18:02:06,   0小時57分鐘
13V,140.119.72.72,101302002,00E05DB248,13-Jan-15 17:05:01,13-Jan-15 17:18:22,   0小時13分鐘
38R,140.119.129.92,100506038,007BE5C6B3,13-Jan-15 17:05:44,13-Jan-15 17:58:17,   0小時52分鐘
14W,140.119.49.,102303089,00E6FBE00E,13-Jan-15 17:07:05,13-Jan-15 17:17:02,   0小時10分鐘
21N,140.119.55.192,101207316,006021AE48,13-Jan-15 17:07:12,13-Jan-15 17:11:13,   0小時04分鐘
56D,140.119.29.56,101501050,00E0A26D3E,13-Jan-15 17:10:24,13-Jan-15 17:33:40,   0小時23分鐘
33R,140.119.129.87,103509220,00A624240D,13-Jan-15 17:10:42,13-Jan-15 18:30:05,   1小時19分鐘
11V,140.119.72.55,100307027,007B72CBB3,13-Jan-15 17:11:17,13-Jan-15 17:11:43,   0小時00分鐘
20R,140.119.129.74,T22345003400,007046BA54,13-Jan-15 17:11:17,13-Jan-15 19:02:06,   1小時51分鐘
25N,140.119.55.243,101207316,006021AE48,13-Jan-15 17:11:18,13-Jan-15 17:18:16,   0小時07分鐘
05W,140.119.49.36,102209041,00863FB20B,13-Jan-15 17:11:30,13-Jan-15 17:16:27,   0小時04分鐘
01R,140.119.129.67,102302044,00A0862D7A,13-Jan-15 17:11:34,13-Jan-15 17:26:06,   0小時14分鐘
04R,140.119.129.58,102702048,0000DBE277,13-Jan-15 17:11:47,13-Jan-15 17:12:01,   0小時00分鐘
32I,140.119.187.132,101202022,00C0506A3E,13-Jan-15 17:11:50,13-Jan-15 18:05:46,   0小時54分鐘
07W,140.119.49.34,103101026,00F68A0D07,13-Jan-15 17:11:57,13-Jan-15 17:17:48,   0小時06分鐘
06R,140.119.129.60,102702048,0000DBE277,13-Jan-15 17:12:14,13-Jan-15 17:43:02,   0小時30分鐘
14V,140.119.72.49,102351015,007084E177,13-Jan-15 17:12:35,13-Jan-15 17:35:14,   0小時22分鐘
11R,140.119.129.70,101507001,0090ECAF48,13-Jan-15 17:12:55,13-Jan-15 17:50:07,   0小時37分鐘
26R,140.119.129.80,101401022,0080E2EA77,13-Jan-15 17:13:09,13-Jan-15 17:29:56,   0小時16分鐘
11W,140.119.49.30,CC0500,0052AB5560,13-Jan-15 17:13:30,13-Jan-15 18:45:41,   1小時32分鐘
12V,140.119.72.57,100307026,00D0124635,13-Jan-15 17:13:35,13-Jan-15 17:25:25,   0小時12分鐘
44B,140.119.41.144,101263001,00D697240D,13-Jan-15 17:13:37,13-Jan-15 18:07:38,   0小時54分鐘
35R,140.119.129.89,102103020,00A0BE4A35,13-Jan-15 17:14:21,13-Jan-15 17:46:32,   0小時32分鐘
15D,140.119.29.15,103101069,00D665250D,13-Jan-15 17:14:30,13-Jan-15 17:52:33,   0小時37分鐘
08R,140.119.129.62,102208082,00C0E10579,13-Jan-15 17:15:24,13-Jan-15 17:31:47,   0小時16分鐘
15R,140.119.129.64,99504013,00EEC38138,13-Jan-15 17:16:13,13-Jan-15 17:30:17,   0小時13分鐘
37D,140.119.29.37,101402018,0046A2250D,13-Jan-15 17:16:43,13-Jan-15 18:00:02,   0小時43分鐘
36D,140.119.29.36,101506038,002E109CDD,13-Jan-15 17:16:48,13-Jan-15 17:59:59,   0小時43分鐘
10V,140.119.72.54,102301083,0080D87578,13-Jan-15 17:16:59,13-Jan-15 19:38:40,   2小時21分鐘
09R,140.119.129.68,101203049,0030876C77,13-Jan-15 17:17:22,13-Jan-15 17:22:32,   0小時05分鐘
55C,140.119.27.55,100207241,00F0E0513E,13-Jan-15 17:17:41,13-Jan-15 17:23:12,   0小時05分鐘
18R,140.119.129.72,101208087,00AE339ADD,13-Jan-15 17:17:55,13-Jan-15 17:34:28,   0小時16分鐘
13N,140.119.55.186,101207316,006021AE48,13-Jan-15 17:18:20,13-Jan-15 17:18:33,   0小時00分鐘
34N,140.119.55.206,101207316,006021AE48,13-Jan-15 17:18:37,13-Jan-15 17:19:06,   0小時00分鐘
42N,140.119.55.214,101207316,006021AE48,13-Jan-15 17:19:11,13-Jan-15 17:19:25,   0小時00分鐘
04R,140.119.129.58,101502034,00204FEB77,13-Jan-15 17:19:23,13-Jan-15 17:59:51,   0小時40分鐘
06W,140.119.49.35,102209041,00863FB20B,13-Jan-15 17:19:58,13-Jan-15 17:24:38,   0小時04分鐘
18D,140.119.29.18,100207414,00EB27C8B3,13-Jan-15 17:20:08,13-Jan-15 18:00:36,   0小時40分鐘
31R,140.119.129.85,100509318,00FBBACBB3,13-Jan-15 17:20:25,13-Jan-15 17:27:40,   0小時07分鐘
68B,140.119.41.168,102301060,0090CE5835,13-Jan-15 17:20:26,13-Jan-15 17:48:09,   0小時27分鐘
13V,140.119.72.72,101357007,00CB7DC7B3,13-Jan-15 17:20:29,13-Jan-15 18:07:50,   0小時47分鐘
22R,140.119.129.76,A22729185700,003AE93307,13-Jan-15 17:20:33,13-Jan-15 19:18:22,   1小時57分鐘
07W,140.119.49.34,103256017,00563B230D,13-Jan-15 17:21:15,13-Jan-15 17:26:43,   0小時05分鐘
14W,140.119.49.,99203016,0050A39266,13-Jan-15 17:21:21,13-Jan-15 17:22:04,   0小時00分鐘
36B,140.119.41.136,103204050,00B638230D,13-Jan-15 17:23:12,13-Jan-15 21:35:54,   4小時12分鐘
22B,140.119.41.122,101306060,00E00D6D3E,13-Jan-15 17:23:19,13-Jan-15 17:26:14,   0小時03分鐘
24R,140.119.129.78,100104039,00BB93CBB3,13-Jan-15 17:23:44,13-Jan-15 18:35:58,   1小時12分鐘
12C,140.119.27.12,99104106,00B0B4EC77,13-Jan-15 17:23:45,13-Jan-15 18:58:59,   1小時35分鐘
05W,140.119.49.36,103601059,0096B5250D,13-Jan-15 17:24:49,13-Jan-15 18:32:30,   1小時07分鐘
67M,140.119.17.112,102306061,0090F2AF48,13-Jan-15 17:25:32,13-Jan-15 20:21:25,   2小時55分鐘
68M,140.119.17.113,102306039,0070E46531,13-Jan-15 17:26:00,13-Jan-15 20:28:22,   3小時02分鐘
16A,140.119.26.16,101306060,00E00D6D3E,13-Jan-15 17:26:32,13-Jan-15 18:01:05,   0小時34分鐘
48B,140.119.41.148,100504025,00A025E36B,13-Jan-15 17:27:04,13-Jan-15 17:32:43,   0小時05分鐘
14W,140.119.49.,100404014,00AD5E0712,13-Jan-15 17:27:53,13-Jan-15 17:57:59,   0小時30分鐘
07W,140.119.49.34,103256017,00563B230D,13-Jan-15 17:29:30,13-Jan-15 17:33:08,   0小時03分鐘
26R,140.119.129.80,101401022,0080E2EA77,13-Jan-15 17:32:02,13-Jan-15 19:48:25,   2小時16分鐘
75B,140.119.41.175,100307019,0040D0EB77,13-Jan-15 17:32:34,13-Jan-15 17:56:13,   0小時23分鐘
56B,140.119.41.156,100504025,00A025E36B,13-Jan-15 17:32:47,13-Jan-15 18:52:44,   1小時19分鐘
74B,140.119.41.174,100307027,007B72CBB3,13-Jan-15 17:32:53,13-Jan-15 17:34:08,   0小時01分鐘
01R,140.119.129.67,100701047,000EB39BDD,13-Jan-15 17:32:58,13-Jan-15 18:45:00,   1小時12分鐘
07W,140.119.49.34,102204014,00D032E277,13-Jan-15 17:33:15,13-Jan-15 17:38:24,   0小時05分鐘
09R,140.119.129.68,101504021,00E09A7578,13-Jan-15 17:33:19,13-Jan-15 18:19:45,   0小時46分鐘
12V,140.119.72.57,100307015,004B72C6B3,13-Jan-15 17:33:20,13-Jan-15 17:42:50,   0小時09分鐘
74B,140.119.41.174,100307027,007B72CBB3,13-Jan-15 17:34:14,13-Jan-15 17:56:05,   0小時21分鐘
08R,140.119.129.62,101204005,00803D5935,13-Jan-15 17:35:10,13-Jan-15 18:01:32,   0小時26分鐘
21R,140.119.129.75,102301024,00307EE277,13-Jan-15 17:37:38,13-Jan-15 18:03:31,   0小時25分鐘
23R,140.119.129.77,101205075,00C0556E77,13-Jan-15 17:38:29,13-Jan-15 17:55:58,   0小時17分鐘
11V,140.119.72.55,102203064,00606E6966,13-Jan-15 17:38:45,13-Jan-15 17:40:21,   0小時01分鐘
06V,140.119.72.51,103302042,00E66D260D,13-Jan-15 17:39:10,13-Jan-15 19:21:49,   1小時42分鐘
08W,140.119.49.31,103255001,00A663260D,13-Jan-15 17:40:30,13-Jan-15 17:54:48,   0小時14分鐘
03R,140.119.129.57,102551011,00B0BC6E77,13-Jan-15 17:40:45,13-Jan-15 17:50:32,   0小時09分鐘
40R,140.119.129.94,100509318,00FBBACBB3,13-Jan-15 17:42:02,13-Jan-15 20:08:02,   2小時25分鐘
15R,140.119.129.64,103357043,003BDD8937,13-Jan-15 17:42:28,13-Jan-15 19:42:42,   2小時00分鐘
06W,140.119.49.35,101451026,00C0F45835,13-Jan-15 17:42:59,13-Jan-15 17:46:56,   0小時04分鐘
11V,140.119.72.55,103363065,00B06CD64D,13-Jan-15 17:44:05,13-Jan-15 18:00:28,   0小時16分鐘
07W,140.119.49.34,103256017,00563B230D,13-Jan-15 17:44:59,13-Jan-15 17:54:39,   0小時09分鐘
14V,140.119.72.49,103363123,00F6364611,13-Jan-15 17:45:12,13-Jan-15 17:53:55,   0小時09分鐘
18R,140.119.129.72,103205060,00B6228D0C,13-Jan-15 17:45:13,13-Jan-15 18:57:40,   1小時12分鐘
32R,140.119.129.86,101209044,00D0676631,13-Jan-15 17:47:35,13-Jan-15 17:59:26,   0小時12分鐘
04V,140.119.72.61,102302049,0040E35735,13-Jan-15 17:50:38,13-Jan-15 17:59:30,   0小時09分鐘
07V,140.119.72.53,101303083,00801D533E,13-Jan-15 17:50:48,13-Jan-15 18:23:54,   0小時33分鐘
03W,140.119.49.38,102207224,0090BFE177,13-Jan-15 17:51:30,13-Jan-15 18:29:41,   0小時38分鐘
39R,140.119.129.93,101207248,0070F95535,13-Jan-15 17:51:55,13-Jan-15 19:02:50,   1小時10分鐘
05R,140.119.129.59,102303025,00EDAE0512,13-Jan-15 17:52:04,13-Jan-15 17:58:36,   0小時06分鐘
31R,140.119.129.85,103104037,00B6FD260D,13-Jan-15 17:54:23,13-Jan-15 20:26:23,   2小時31分鐘
12V,140.119.72.57,101305083,00B0C6693E,13-Jan-15 17:55:09,13-Jan-15 18:04:30,   0小時09分鐘
14W,140.119.49.,100404014,00AD5E0712,13-Jan-15 17:58:18,13-Jan-15 18:00:50,   0小時02分鐘
09V,140.119.72.52,102301061,00F0C04E79,13-Jan-15 17:59:14,13-Jan-15 18:13:48,   0小時14分鐘
11R,140.119.129.70,100507004,00CB77C8B3,13-Jan-15 17:59:31,13-Jan-15 18:29:40,   0小時30分鐘
55C,140.119.27.55,100209002,007BC7C6B3,13-Jan-15 17:59:47,13-Jan-15 18:08:01,   0小時08分鐘
04V,140.119.72.61,103307102,00EBAA8E37,13-Jan-15 17:59:58,13-Jan-15 18:09:36,   0小時09分鐘
06R,140.119.129.60,101303020,00D0F59C48,13-Jan-15 18:00:29,13-Jan-15 18:21:19,   0小時21分鐘
07R,140.119.129.61,100303065,0000A86E77,13-Jan-15 18:00:33,13-Jan-15 18:21:17,   0小時21分鐘
03R,140.119.129.57,101208018,0030F1C848,13-Jan-15 18:02:33,13-Jan-15 18:02:42,   0小時00分鐘
23R,140.119.129.77,101208018,0030F1C848,13-Jan-15 18:02:50,13-Jan-15 18:19:56,   0小時17分鐘
56C,140.119.27.56,100209038,008617E733,13-Jan-15 18:02:54,13-Jan-15 18:07:59,   0小時04分鐘
16A,140.119.26.16,102205016,00902B4735,13-Jan-15 18:04:05,13-Jan-15 22:03:25,   3小時59分鐘
47O,140.119.73.95,CC0451,0082FC5760,13-Jan-15 18:04:11,13-Jan-15 18:06:53,   0小時03分鐘
45O,140.119.73.99,CC0452,00320A5860,13-Jan-15 18:04:15,13-Jan-15 18:06:58,   0小時03分鐘
43O,140.119.73.101,CC0453,0072AD5760,13-Jan-15 18:04:20,13-Jan-15 18:07:01,   0小時02分鐘
41O,140.119.73.107,CC0454,00921F5D60,13-Jan-15 18:04:25,13-Jan-15 18:07:04,   0小時02分鐘
40O,140.119.73.94,CC0455,00821F5D60,13-Jan-15 18:04:31,13-Jan-15 18:07:07,   0小時02分鐘
38O,140.119.73.98,CC0456,00E29A5760,13-Jan-15 18:04:35,13-Jan-15 18:07:10,   0小時02分鐘
36O,140.119.73.102,CC0457,00A2065860,13-Jan-15 18:04:42,13-Jan-15 18:07:13,   0小時02分鐘
34O,140.119.73.106,CC0458,00B2875760,13-Jan-15 18:04:47,13-Jan-15 18:07:16,   0小時02分鐘
37R,140.119.129.91,102506012,0060E59064,13-Jan-15 18:05:35,13-Jan-15 19:32:24,   1小時27分鐘
46C,140.119.27.46,101204040,0050ED5335,13-Jan-15 18:05:43,13-Jan-15 21:58:20,   3小時52分鐘
04R,140.119.129.58,101601002,00F6848C0C,13-Jan-15 18:05:44,13-Jan-15 18:06:04,   0小時00分鐘
32C,140.119.27.32,101208033,0070C4693E,13-Jan-15 18:06:03,13-Jan-15 18:23:18,   0小時17分鐘
21R,140.119.129.75,101601002,00F6848C0C,13-Jan-15 18:06:08,13-Jan-15 19:57:20,   1小時51分鐘
11V,140.119.72.55,102303051,00702B5635,13-Jan-15 18:07:34,13-Jan-15 18:33:49,   0小時26分鐘
13R,140.119.129.55,101703050,0006AF8D0C,13-Jan-15 18:07:53,13-Jan-15 18:27:50,   0小時19分鐘
34R,140.119.129.88,99508039,0086768C0C,13-Jan-15 18:08:35,13-Jan-15 21:32:27,   3小時24分鐘
09W,140.119.49.32,103601082,0066C5AC0C,13-Jan-15 18:09:23,13-Jan-15 19:13:05,   1小時03分鐘
05R,140.119.129.59,101103019,00E0CCEC77,13-Jan-15 18:09:23,13-Jan-15 18:12:51,   0小時03分鐘
04V,140.119.72.61,103307102,00EBAA8E37,13-Jan-15 18:09:40,13-Jan-15 18:21:50,   0小時12分鐘
01W,140.119.49.108,103263007,00D63B230D,13-Jan-15 18:11:18,13-Jan-15 18:13:23,   0小時01分鐘
03R,140.119.129.57,101304037,0020EA6A3E,13-Jan-15 18:11:41,13-Jan-15 18:20:51,   0小時09分鐘
07W,140.119.49.34,102207320,00E0B96D77,13-Jan-15 18:11:49,13-Jan-15 18:16:47,   0小時04分鐘
49O,140.119.73.92,100304039,003614230D,13-Jan-15 18:12:46,13-Jan-15 18:30:38,   0小時18分鐘
14W,140.119.49.,101361013,00C0EE5335,13-Jan-15 18:12:51,13-Jan-15 18:26:04,   0小時13分鐘
28R,140.119.129.82,101207250,0090F0E277,13-Jan-15 18:13:22,13-Jan-15 19:20:35,   1小時07分鐘
09V,140.119.72.52,102301061,00F0C04E79,13-Jan-15 18:13:51,13-Jan-15 18:15:45,   0小時01分鐘
34C,140.119.27.34,99555008,0003DF52E9,13-Jan-15 18:14:57,13-Jan-15 18:15:51,   0小時01分鐘
